Guilds,x,variable,value,lower,upper
Predators,HPD2019,q = 0,69.438,62.171,76.705
Predators,LPD2019,q = 0,71,62.7,79.3
Predators,HPD2021,q = 0,40.666,35.956,45.376
Predators,LPD2021,q = 0,48.798,40.776,56.82
Herbivores,HPD2019,q = 0,39.94,37.435,42.445
Herbivores,LPD2019,q = 0,40.117,37.359,42.876
Herbivores,HPD2021,q = 0,37.184,32.8,41.567
Herbivores,LPD2021,q = 0,43,35.598,50.402
Pollinators,HPD2019,q = 0,11.813,10.26,13.365
Pollinators,LPD2019,q = 0,14.401,12.565,16.237
Pollinators,HPD2021,q = 0,13,10.289,15.711
Pollinators,LPD2021,q = 0,7.692,5.396,9.989
Detritivores,HPD2019,q = 0,5.923,3.78,8.065
Detritivores,LPD2019,q = 0,7.204,4.868,9.539
Detritivores,HPD2021,q = 0,7.786,6.354,9.218
Detritivores,LPD2021,q = 0,3,2.693,3.307
Predators,HPD2019,q = 1,15.546,13.632,17.46
Predators,LPD2019,q = 1,28.775,24.9,32.649
Predators,HPD2021,q = 1,5.002,4.543,5.462
Predators,LPD2021,q = 1,3.872,3.184,4.56
Herbivores,HPD2021,q = 1,13.339,11.234,15.445
Herbivores,LPD2021,q = 1,20.351,16.009,24.693
Herbivores,HPD2019,q = 1,20.525,18.983,22.066
Herbivores,LPD2019,q = 1,19.641,17.819,21.462
Pollinators,HPD2019,q = 1,10.136,8.105,12.167
Pollinators,LPD2019,q = 1,13.243,10.933,15.553
Pollinators,HPD2021,q = 1,12.247,9.44,15.054
Pollinators,LPD2021,q = 1,5.906,3.905,7.908
Detritivores,HPD2019,q = 1,2.9,1.662,4.139
Detritivores,LPD2019,q = 1,3.978,2.233,5.722
Detritivores,HPD2021,q = 1,5.001,3.602,6.399
Detritivores,LPD2021,q = 1,2.679,2.218,3.141
Predators,HPD2019,q = 2,6.666,5.956,7.376
Predators,LPD2019,q = 2,17.124,14.739,19.51
Predators,HPD2021,q = 2,2.852,2.672,3.032
Predators,LPD2021,q = 2,1.814,1.635,1.993
Herbivores,HPD2019,q = 2,12.979,11.863,14.095
Herbivores,LPD2019,q = 2,11.545,10.286,12.804
Herbivores,HPD2021,q = 2,6.002,4.977,7.026
Herbivores,LPD2021,q = 2,12.498,10.054,14.942
Pollinators,HPD2019,q = 2,8.458,6.283,10.633
Pollinators,LPD2019,q = 2,11.842,9.448,14.236
Pollinators,HPD2021,q = 2,11.571,8.453,14.69
Pollinators,LPD2021,q = 2,4.73,2.916,6.544
Detritivores,HPD2019,q = 2,1.992,1.294,2.691
Detritivores,LPD2019,q = 2,2.652,1.501,3.804
Detritivores,HPD2021,q = 2,3.487,2.333,4.641
Detritivores,LPD2021,q = 2,2.507,1.977,3.037