ACA1,ACA2,ARA11,ARA12,ARA14,ARA16,ARA22,ARA28,ARA31,ARA32,ARA34,ARA36,ARA39,ARA4,ARA43,ARA45,ARA49,ARA5,ARA53,ARA56,ARA6,ARA60,ARA68,ARA69,ARA70,ARA71,ARA72,ARA73,ARA74,ARA75,ARA76,ARA77,ARA78,ARA79,ARA8,ARA80,ARA81,ARA82,ARA83,ARA84,ARA85,ARA86,ARA87,ARA88,ARA89,ARA90,ARA91,ARA92,ARA93,BLA1,COL11,COL13,COL14,COL18,COL19,COL2,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL3,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL4,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL55,COL56,COL57,COL58,COL59,COL6,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL7,COL70,COL71,DER1,DIP12,DIP13,DIP23,DIP24,DIP27,DIP29,DIP30,DIP33,DIP34,DIP35,DIP36,DIP37,DIP38,DIP39,DIP40,DIP41,DIP42,DIP43,DIP44,DIP45,DIP46,DIP47,DIP48,DIP49,DIP5,DIP50,DIP51,DIP52,DIP53,DIP54,DIP55,DIP56,DIP57,DIP58,DIP59,DIP60,DIP7,DIP8,DIP9,FOR1,FOR11,FOR15,FOR16,FOR17,FOR18,FOR19,FOR2,FOR20,FOR21,FOR22,FOR4,FOR5,FOR6,FOR7,FOR8,HEM1,HEM10,HEM11,HEM16,HEM18,HEM19,HEM2,HEM23,HEM24,HEM25,HEM3,HEM31,HEM33,HEM34,HEM35,HEM36,HEM37,HEM38,HEM39,HEM4,HEM40,HEM41,HEM42,HEM43,HEM44,HEM45,HEM46,HEM47,HEM48,HEM49,HEM5,HEM50,HEM51,HEM52,HEM53,HEM54,HEM55,HEM56,HEM57,HEM58,HEM59,HEM6,HEM60,HEM61,HEM62,HEM63,HEM64,HEM65,HEM66,HEM67,HEM68,HEM69,HEM7,HEM70,HEM71,HEM72,HEM73,HEM74,HEM75,HEM76,HEM77,HEM78,HEM79,HEM8,HEM80,HEM81,HEM82,HEM83,HEM9,HYM1,HYM10,HYM12,HYM14,HYM15,HYM16,HYM17,HYM18,HYM19,HYM2,HYM20,HYM21,HYM22,HYM23,HYM24,HYM25,HYM26,HYM27,HYM28,HYM29,HYM3,HYM30,HYM31,HYM32,HYM33,HYM34,HYM35,HYM36,HYM37,HYM38,HYM39,HYM40,HYM41,HYM42,HYM43,HYM44,HYM45,HYM46,HYM47,HYM48,HYM49,HYM5,HYM50,HYM51,HYM52,HYM53,HYM54,HYM55,HYM56,HYM57,HYM6,HYM7,HYM8,HYM9,INM4,INM5,ISO3,LEP1,LEP10,LEP11,LEP12,LEP13,LEP14,LEP15,LEP16,LEP17,LEP18,LEP19,LEP2,LEP20,LEP21,LEP22,LEP23,LEP24,LEP25,LEP26,LEP27,LEP28,LEP29,LEP3,LEP30,LEP31,LEP32,LEP33,LEP34,LEP35,LEP36,LEP37,LEP38,LEP39,LEP4,LEP40,LEP41,LEP42,LEP43,LEP44,LEP45,LEP5,LEP6,LEP7,LEP8,LEP9,MAN1,MAN2,MAN3,NEU2,NEU3,ORT1,ORT10,ORT11,ORT13,ORT14,ORT15,ORT16,ORT17,ORT18,ORT19,ORT20,ORT21,ORT22,ORT23,ORT24,ORT25,ORT26,ORT3,ORT5,ORT6,ORT7,ORT9,PSE1,S,DIP2,DIP61,HEM84,ARA30,HEM85,DIP62,HEM102,HEM86,DIP63,HEM87,DIP26,MAN4,ARA94,ARA95,FOR12,HYM59,DIP64,FOR23,ORT27,ORT28,ORT29,ORT30,ORT31,ORT32,ORT33,ORT34,BLA3,HYM60,ARA17,HEM90,LMB1,ARA97,ORT36,HYM58,DIP76,DIP65,ORT37,HEM91,HEM15,HEM94,HEM95,HEM96,HEM97,HEM98,ARA44,ARA98,DIP77,COL73,COL74,ORT38,ORT39,ORT40,HEM99,HEM100,ACA5,FOR24,ORT41,DIP66,DIP1,LEP46,DIP17,HYM63,COL10,ARA100,ARA101,ARA102,HYM64,COL84,ARA103,ARA104,ARA96,ORT42,ORT43,ORT44,ORT45,BLA2,HEM101,PHA1,FOR25,LEP47,HYM65,HYM66,FOR26,FOR27,FOR28,HEM103,HEM104,HYM76,COL77,FOR29,FOR9,ARA105,LEP48,DIP68,DIP69,DIP70,LEP49,DIP71,DIP72,HYM67,HYM68,HEM105,HEM106,HEM107,HEM108,HEM109,COL1,COL15,COL78,ARA106,ARA59,ARA62,ARA2,ARA64,COL75,FOR30,FOR31,HYM69,ARA107,ACA7,ACA6,ARA108,ARA33,ARA109,ARA110,ARA111,ARA112,ARA113,ARA50,DIP73,FOR32,FOR33,DIP74,FOR34,HEM110,HEM111,HEM113,COL5,COL79,HEM114,ARA114,ARA115,COL85,ODO2,DIP78,HYM72,COL80,ARA116,ARA117,HYM73,COL81,HEM116,ORT46,ORT47,ARA18,DIP75,COL,DIP16,HEM117,HEM118,HEM119,HEM120,COL82,COL83,ARA58,ANU1,ARA118,ARA119,HYM70,HEM121,HEM122,FOR3,ORT48,HEM123,HYM74,HYM75,ARA26,HEM124,ORT49,ARA7,LEP50,LEP51,LEP,LEP52,LEP53
0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,15,0,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,5,0,0,2,0,0,6,0,3,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,3,0,1,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,19,3,0,0,0,0,0,0,0,0,0,0,3,6,0,6,0,0,0,0,1,7,0,4,2,1,5,9,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,17,0,0,1,0,8,4,1,0,0,0,0,0,0,0,0,0,1,67,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,10,0,0,1,2,3,0,0,0,0,5,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,15,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,9,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,2,0,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,6,0,1,0,0,4,0,0,0,3,20,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,3,0,0,0,4,0,16,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,10,3,0,0,0,3,24,0,0,0,0,0,4,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,10,0,0,0,0,0,0,33,0,0,0,0,25,4,0,2,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,45,5,0,2,0,0,0,20,0,0,0,16,0,0,3,0,10,1,0,0,0,0,0,2,0,0,2,0,37,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,2,18,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,0,227,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,4,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,12,1,0,0,0,0,0,0,0,0,0,12,1,134,1,0,0,0,1,1,0,0,0,0,0,22,0,0,0,71,0,0,7,0,0,0,0,1,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,28,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
